x,y,V,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
0,-10,0,-3.6,6.5,4.5,3.4,1.2,3.9,-0.3,3.5,2.4,1.9
0,-9.5,0.08,-6.4,3.8,5.2,1.8,-1.9,3.7,-1.9,3,3.2,-0.1
0,-9,0.17,-7.3,1.5,5.5,0.1,-3.9,1.5,-3.3,1.4,2.8,-1.7
0,-8.5,0.27,-7.5,-0.3,4.5,-3.5,-4.2,0.1,-3.7,0,1.9,-2.7
0,-8,0.38,-7.3,-2,1.7,-5.3,-3.7,-2.2,-3.5,-1.4,0.1,-3.2
0,-7.5,0.5,-4.6,-5.9,0,-5.5,-1.9,-3.9,-2.4,-3,-1.8,-2.8
0,-7,0.62,-2.3,-7,-2.6,-5,0.2,-4.3,0.3,-3.7,-3,-1.3
0,-6.5,0.74,0.2,-7.4,-4.4,-3.6,2.5,-3.5,1.8,-3.4,-3.2,-0.3
0,-6,0.9,3.9,-6.4,-5.3,-1.9,3.7,-2.1,3.2,-2,-2.7,1.4
0,-5.5,1.04,5.7,-4.8,-5.6,0,4.2,-0.3,3.7,-0.3,-1.5,2.5
0,-5,1.22,6.9,-2.9,-5.1,2,4.1,0.7,2.9,2.3,0,3
0,-4.5,1.4,7,1,-4,3.8,3.1,2.8,1.4,3.2,1.3,2.8
0,-4,1.6,5.5,5,-0.7,5.4,1.2,3.9,-0.3,3.5,2.4,1.9
0,-3.5,1.81,2.5,7.2,1.8,5.2,,,,,,
0,-3,2.06,-1,7.3,4.5,3.4,,,,,,
0,-2.5,2.35,-3.6,6.5,,,,,,,,
0,-2,2.65,,,,,,,,,,
